init_time,exe_time,fin_time,total_time,total_check,
0.421632,61.3091,0.0500444,61.7808,61.7808,
0.573755,61.3002,0.0343206,61.9083,61.9083,
0.502829,61.3325,0.0459176,61.8813,61.8813,
0.549262,61.3036,0.0627406,61.9156,61.9156,
0.438815,61.387,0.0749953,61.9008,61.9008,
0.462782,52.1803,0.0503781,52.6935,52.6935,
0.500619,52.1003,0.0505127,52.6514,52.6514,
0.597758,51.9739,0.0512305,52.6229,52.6229,
0.6496,51.9804,0.0518713,52.6819,52.6819,
0.820828,51.884,0.0221931,52.727,52.727,
0.684133,52.0105,0.0304645,52.7251,52.7251,
0.591711,52.0543,0.0579405,52.704,52.704,
0.780808,51.8878,0.0626358,52.7313,52.7313,
0.549671,52.0498,0.0468247,52.6462,52.6462,
0.577423,51.9702,0.0584801,52.6061,52.6061,
0.512448,52.0692,0.061709,52.6434,52.6434,
0.54973,52.0538,0.0611317,52.6646,52.6646,
0.496083,51.9144,0.0136224,52.4241,52.4241,
0.533353,51.8126,0.053476,52.3994,52.3994,
0.529431,51.8654,0.0559911,52.4508,52.4508,
0.56983,51.8026,0.0577482,52.4301,52.4301,
